"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28"
"#bestfriends #dashainlooks","Ranjeeta Gautam","ranjee_gautam","https://www.instagram.com/p/DBXJKIOptHz/","2","","19","2024-10-20T21:48:43.000Z",,"bestfriends","dashainlooks",,,,,,,,,,,,,,,,,,,,,,,,,,,
"High quality American diamond earpiece ✨Order Now!!!
.
.
.
#dhungrinepal #dhungri #royalwomen #beroyal #ad #adring #unique #uniquejewelry #antique #antiquejewelry #love #shine #shippingworldwide #beyoutiful #fordashain #foryou #festivalvibes #dashainlooks","Dhungri Nepal","dhungri_nepal","https://www.instagram.com/p/CiVFoNwoGSV/","0","","19","2022-09-10T14:28:22.000Z",,"dhungrinepal","dhungri","royalwomen","beroyal","ad","adring","unique","uniquejewelry","antique","antiquejewelry","love","shine","shippingworldwide","beyoutiful","fordashain","foryou","festivalvibes","dashainlooks",,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/nepaliculturalcloset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/sajhapahiran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"https://www.instagram.com/explore/tags/nepaliwardobe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Who need a roses when your guitar composes?

#MantraStudios #mantraguitar #designedinnepal #nepalibrand #mantra #nepalidesigned #contribution #contribute #inspiration #support #artists #musicians #madeinnepal #designedinnepal #guitar #guitars #whatsyourmantra #change #connect #build","Mantra Guitar","mantraguitar","https://www.instagram.com/p/C84KM0xSErx/","1","","911","2024-07-01T10:56:41.000Z",,"MantraStudios","mantraguitar","designedinnepal","nepalibrand","mantra","nepalidesigned","contribution","contribute","inspiration","support","artists","musicians","madeinnepal","guitar","guitars","whatsyourmantra","change","connect","build",,,,,,,,,,
"When comfort meets the dance floor 🖤 @ssup_o4 

#dnexzen #madeinnepal #fromhimalayas","Dnexzen","dnexzen","https://www.instagram.com/p/DNUsIjmxYYy/","6","","1290","2025-08-14T05:15:13.000Z",,"dnexzen","madeinnepal","fromhimalayas",,,,,,,,,,,,,,,,,,,,,,,,,,
"Gan Z team

Follow @today_photography10 for beautiful post.

#explorepage #nepal #streetphotography
#nepali # #travelnepal #lovenature
#streetphotography #nepaliword
#exploretheworld
#madeinnepal #flowers 
#nepalimade
#photogram
#photooftheday
#spring
#springday
#springtime #todayphotography10 
#mobilephotography10 
 #mobile10001
 #stharju10
 #camera10001
 #todayphotography🙏
 #flower10
#temple10001
#beauty10001
#sky10001","Today Photography","today_photography10","https://www.instagram.com/p/DOYtzLZE_RL/","15","","2408","2025-09-09T15:16:29.000Z",,"explorepage","nepal","streetphotography","nepali","travelnepal","lovenature","nepaliword","exploretheworld","madeinnepal","flowers","nepalimade","photogram","photooftheday","spring","springday","springtime","todayphotography10","mobilephotography10","mobile10001","stharju10","camera10001","todayphotography🙏","flower10","temple10001","beauty10001","sky10001",,,
"Why am I here? Why not? :)

#DuluwaStories #StayInNepal #DiasporaDilemma #HomeIsHere #NepaliYouth #PurposeOverPassport #WhyIStayed #MadeInNepal","Juliana","duluwa.cha","https://www.instagram.com/p/DM5J2cDSkSk/","40","","504","2025-08-03T12:36:43.000Z",,"DuluwaStories","StayInNepal","DiasporaDilemma","HomeIsHere","NepaliYouth","PurposeOverPassport","WhyIStayed","MadeInNepal",,,,,,,,,,,,,,,,,,,,,
"📩 DM to Order
🌍 Shipping Nepal & Worldwide

Handcrafted Seto Machindranath Frame ✨

Bring home a symbol of compassion, harmony, and Nepal’s rich cultural heritage.

Crafted by skilled Nepali artisans and designed for those who wish to keep culture, faith, and tradition close to their hearts. 🇳🇵

#DyaKipa #SetoMachindranath #HandcraftedInNepal #NepalHeritage #madeinnepal","Dya Kipa","dya.kipa","https://www.instagram.com/p/DYpCrrWT-ez/","17","","508","2026-05-22T12:41:23.000Z",,"DyaKipa","SetoMachindranath","HandcraftedInNepal","NepalHeritage","madeinnepal",,,,,,,,,,,,,,,,,,,,,,,,
"🇳🇵 Made in Nepal, for the world!
Introducing Ree Pro – your all-in-one Nepali app 📱
✅ Upload photos & videos
✅ Audio/Video calls with friends
✅ Search & apply for jobs
📲 Available now on Play Store & App Store!
Support local, go global 🌍
#ReePro #MadeInNepal #NepaliApp #TechByNepal #SupportLocal #JobSearch #VideoCall #PhotoShare","Sajan Shrestha","sajan.shrestha","https://www.instagram.com/p/DMK4UM2Ssl7/","36","","11587","2025-07-16T12:58:41.000Z",,"ReePro","MadeInNepal","NepaliApp","TechByNepal","SupportLocal","JobSearch","VideoCall","PhotoShare",,,,,,,,,,,,,,,,,,,,,
"📍 Nepali Student 👨‍🎓 Small Business Starter 🇳🇵🎯 Dreaming Big from Bagbazar ✨👕 Old-School Fashion Brand | #Oeva📦 Day 2 of the Hustle 🚀📬 DM to support local ❤️. #nepalibusiness  #nepalitiktok  #studententrepreneur  #madeinnepal  #day2startup  #tiktoknepal  #nepalisupportnepali  #bagbazarvibes  #oeva  #nepalfashionbrand  #nepalistudent  #kathmanduvibes  #supportlocalbrand  #viralhuneyvideo  #youngentrepreneur","OEVA","oeva.clo","https://www.instagram.com/p/DKzHEvhJ1UT/","73","","5837","2025-06-12T11:12:08.000Z",,"Oeva📦","nepalibusiness","nepalitiktok","studententrepreneur","madeinnepal","day2startup","tiktoknepal","nepalisupportnepali","bagbazarvibes","oeva","nepalfashionbrand","nepalistudent","kathmanduvibes","supportlocalbrand","viralhuneyvideo","youngentrepreneur",,,,,,,,,,,,,
